omega/M,delta_phi_sc_T-0.1M,delta_phi_R_T-0.1M,delta_phi_tot_T-0.1M,delta_phi_sc_T-0.7M,delta_phi_R_T-0.7M,delta_phi_tot_T-0.7M,delta_phi_sc_T-1M,delta_phi_R_T-1M,delta_phi_tot_T-1M,delta_phi_sc_T-2M,delta_phi_R_T-2M,delta_phi_tot_T-2M,delta_sigma_sc_T-0.1M,delta_sigma_R_T-0.1M,delta_sigma_tot_T-0.1M,delta_sigma_sc_T-0.7M,delta_sigma_R_T-0.7M,delta_sigma_tot_T-0.7M,delta_sigma_sc_T-1M,delta_sigma_R_T-1M,delta_sigma_tot_T-1M,delta_sigma_sc_T-2M,delta_sigma_R_T-2M,delta_sigma_tot_T-2M
0.217667025315346,3.14159265358979,0,3.14159265358979,0,0,0,0,0,0,0.339979822180386,-0.336759740788029,0.00322008139235728,0,0,0,0,0,0,0,0,0,0.0705263560207228,-0.0699796735252565,0.000546682495466212
0.223097643636445,3.14159265358979,0,3.14159265358979,0,0,0,0,0,0,0.349297340708493,-0.345913984773479,0.00338335593501392,0,0,0,0,0,0,0,0,0,0.0868097128050335,-0.0861013073186975,0.00070840548633598
0.228663751544481,3.14159265358979,0,3.14159265358979,0,0,0,0,0,0,0.357420388805429,-0.353865320242592,0.00355506856283746,0,0,0,0,0,0,0,0,0,0.102400879801907,-0.101522455919608,0.000878423882299261
0.234368729396361,3.14159265358979,0,3.14159265358979,0,0,0,0,0,0,0.364748143190394,-0.361012521419826,0.00373562177056769,0,0,0,0,0,0,0,0,0,0.117349775927711,-0.116292608570584,0.00105716735712679
0.240216041886201,3.14159265358979,0,3.14159265358979,0,0,0,0,0,0,0.371473269033167,-0.367547810610597,0.00392545842256987,0,0,0,0,0,0,0,0,0,0.13172649484487,-0.130481408779794,0.00124508606507538
0.246209240149463,3.14159265358979,0,3.14159265358979,0,0,0,0,0,0,0.378099506800565,-0.373974504487877,0.00412500231268859,0,0,0,0,0,0,0,0,0,0.145650589939764,-0.144207942110949,0.00144264782881496
0.2523519639196,3.14159265358979,0,3.14159265358979,0,0,0,0,0,0,0.383632001991073,-0.379297110603711,0.00433489138736217,0,0,0,0,0,0,0,0,0,0.158975225015041,-0.157324853376621,0.0016503716384202
0.258647943738508,3.14159265358979,0,3.14159265358979,0,0,0,0,0,0,0.389254317840522,-0.38469880759502,0.00455551024550184,0,0,0,0,0,0,0,0,0,0.171929743893774,-0.170060979417695,0.00186876447607913
0.265101003222122,3.14159265358979,0,3.14159265358979,0,0,0,0,0,0,0.394685386095482,-0.389897929820179,0.00478745627530265,0,0,0,0,0,0,0,0,0,0.184483279502646,-0.182384892444582,0.00209838705806446
0.271715061382535,3.14159265358979,0,3.14159265358979,0,0,0,0,0,0,0.39988877125983,-0.394857443624091,0.00503132763573941,0,0,0,0,0,0,0,0,0,0.196647308053103,-0.194307482298538,0.00233982575456459
0.278494135008065,3.14159265358979,0,3.14159265358979,0,0,0,0,0,0,0.405009566771315,-0.399721843645871,0.00528772312544392,0,0,0,0,0,0,0,0,0,0.208479161250318,-0.205885470094257,0.00259369115606097
0.285442341102683,3.14159265358979,0,3.14159265358979,0,0,0,0,0,0,0.409944616212135,-0.404387299407191,0.00555731680494351,0,0,0,0,0,0,0,0,0,0.219962522740707,-0.217101885333242,0.0028606374074655
0.292563899386323,3.14159265358979,0,3.14159265358979,0,0,0,0,0,0,0.414802620548418,-0.408961841619082,0.00584077892933568,0,0,0,0,0,0,0,0,0,0.231162257205343,-0.228020917464593,0.00314133974075021
