Phi/M,mu-0,mu-0.9M,mu-1M,mu-1.1M
-1.76,0.00909746291709984,0.00909746291709984,0.00909746291709984,0.00909746291709984
-1.75,0.00660037101233973,0.00660037101233973,0.00660037101233973,0.00660037101233973
-1.74,0.00415361169917737,0.00415361169917737,0.00415361169917737,0.00415361169917737
-1.73,0.00175688162829125,0.00175688162829125,0.00175688162829125,0.00175688162829125
-1.72,-0.000590124459499242,-0.000590124459499242,-0.000590124459499242,-0.000590124459499242
-1.71,-0.00288771373323456,-0.00288771373323456,-0.00288771373323456,-0.00288771373323456
-1.7,-0.00513619527181397,-0.00513619527181397,-0.00513619527181397,-0.00513619527181397
-1.69,-0.00733588006399638,-0.00733588006399638,-0.00733588006399638,-0.00733588006399638
-1.68,-0.00948708100839983,-0.00948708100839983,-0.00948708100839983,-0.00948708100839983
-1.67,-0.0115901129135017,-0.0115901129135017,-0.0115901129135017,-0.0115901129135017
-1.66,-0.013645292497639,-0.013645292497639,-0.013645292497639,-0.013645292497639
-1.65,-0.0156529383890076,-0.0156529383890076,-0.0156529383890076,-0.0156529383890076
-1.64,-0.017613371125663,-0.017613371125663,-0.017613371125663,-0.017613371125663
-1.63,-0.0195269131555197,-0.0195269131555197,-0.0195269131555197,-0.0195269131555197
-1.62,-0.0213938888363519,-0.0213938888363519,-0.0213938888363519,-0.0213938888363519
-1.61,-0.0232146244357929,-0.0232146244357929,-0.0232146244357929,-0.0232146244357929
-1.6,-0.0249894481313354,-0.0249894481313354,-0.0249894481313354,-0.0249894481313354
-1.59,-0.0267186900103313,-0.0267186900103313,-0.0267186900103313,-0.0267186900103313
